Created At,Text,Retweets,Likes 


2020-12-22,"12/25 > 💋",35000,207000
2020-12-24,"iT bEEN 2 YEArS wTF . >",13000,157000
2020-12-24,"wE pARTY HaRD 2 niGHT >",23000,184000
2020-12-25,"OMFg oMg 0mG > r3D r3d REd > .",17000,149000
2020-12-25,"kAYne wESt i loV3 u BoY ! > 💋",15000,142000
2020-12-25,"eVRY boDy rUN oUt tH3 houSE RN ! > gO",9700,113000
2020-12-26,"i kANT wAIt 2 PeFORM dis ALbum . >oMG > MOSH pITttttttttttttttt >>>>",9100,109000
2020-12-26,"tALk 2 me > WAT sOng . d0 u neeD oN deLuxE >> ??????",25000,162000
2020-12-22,"dELuxE oTW . > yEs",18000,162000
2020-12-31,"rIP mF dOOM ! wTF",20000,231000
2021-1-3,"!!!!! wTF . wE r # 1 > mY fANs . >",87000,134000
2021-1-22,"bE Y0u . i love You",26000,164000
2021-2-11,"heY i miss U !",29000,180000
2021-2-20,"bE yOU",25000,153000
2021-6-10,"i miss uuuuuuu",43000,222000
2021-7-21,"DONDA > YE >",29000,228000
2021-9-26,"Narcissist",39000,238000
2021-10-24,"HARDcore",11000,139000
2021-10-24,"Cult",15000,188000
2022-12-25,"Hello    Twitter",48000,409000
2022-12-25,"love all my supporters  it’s time",72000,406000


